,SurfaceEulerNumber,SurfaceDefectArea,SurfaceDefectNumber,SurfaceIntensityRMSE,SurfacePositionRMSE,NCR,ICR,contrast,contrastr,IQR_rating,SIQR_rating,SurfaceEulerNumber_rating,SurfaceDefectArea_rating,vol_TIV,surf_TSA
count,3063.0,3063.0,3063.0,3063.0,3063.0,3063.0,3063.0,3063.0,3063.0,3063.0,3063.0,3063.0,3063.0,3063.0,3063.0
mean,28.036565458700622,1.1030960267203374,10.150832517140058,0.07693286755049575,0.07788074713345061,0.061327176412145204,0.3475651276163171,347.2290302927962,0.2941831654917365,1.8785500520793466,2.4165872562196062,2.3226095531258535,1.2757740066800847,1478.5605654763283,1935.3762834083536
std,16.68562729671816,0.6773067580295151,5.2081687137711095,0.004917080190810266,0.008410738999873718,0.019680431224506866,0.20109748578906078,432.49850199258105,0.03279472045264322,0.11258445065889336,0.5422295443538879,0.749239290310293,0.16932668950737875,150.54104470081546,191.24428030086978
min,6.0,0.0480041128107224,1.5,0.0654100105166435,0.0597205087542534,0.0158928050659597,0.100860141217709,12.1857137680054,0.153615012764931,1.40817999484914,1.38634871075351,1.20408163265306,1.01200102820268,913.777803921569,1232.09684110485
25%,18.0,0.6499232964875095,7.0,0.0733391009271145,0.07191549986600874,0.046910954522900256,0.24761619418859498,91.84046936035155,0.27863329648971547,1.835422874432415,2.0339492331959246,1.81632653061224,1.162480824121875,1368.9747346680902,1800.2920275268948
50%,26.0,0.978954746304998,9.5,0.0764729082584381,0.0764601677656174,0.0610763928852975,0.30879470705986,116.022888183594,0.303793728351593,1.85023993605789,2.23992735570538,2.22448979591837,1.24473868657625,1475.71253431373,1927.85842077754
75%,34.0,1.445072497145595,12.25,0.08001416176557545,0.0825824216008186,0.07193592796102165,0.3772230595350265,422.7733154296875,0.31911112368106853,1.92781994358974,2.640858711631515,2.63265306122449,1.3612681242864,1585.16941349156,2071.9273215944704
max,466.0,13.6992595995516,122.5,0.113262325525284,0.135906279087067,0.223198640160263,1.71854507923126,1919.50158691406,0.333071291446686,3.24615966146889,4.73649112977045,10.5,4.42481489988789,2037.76029847992,2600.63726849392
